Key,noTrim,profile,type,en-us,en-us-sfw
Pb2.0,,drjeff,map,"""Dr."" Jeff: Ugh... it seems I underestimated you... do you also have a Ph.D?",
Pb2.1,,drjeff,map,"""Dr."" Jeff: Wh-what?! I lost to someone... who never even went to college... ugh...",
Pb2.2,,drjeff,map,"""Dr."" Jeff: Going to college, then being too smart for it and dropping out is one thing... but never going at all? Ugh... insulting.",
Pb2.3,,drjeff,map,"""Dr."" Jeff: I'm sorry, Beckett... I'm sorry, Food2... I've failed you... all my research... for nothing...",
Pb2.4,,,map,"Beckett... that's the man who was at my produce stand earlier. ""Food2"" must be his start-up!",
Pb2.5,,drjeff,map,"""Dr."" Jeff: You may have beaten me... but you'll never stop Food2... not while we have things like THAT on our side!",
Pb2.6,,,map,He smugly gestures towards a cage.,
Pb2.7,,drjeff,map,"""Dr."" Jeff: You have brawn, but Food2 has BRAINS. And that little creature is proof of it!",
Pb2.8,,,map,"Looking closely, it appears to be some sort of amphibian, but also... an onion?",
Pb2.9,,drjeff,map,"""Dr."" Jeff: Food2 will be both nutritious and affordable, which means its protein must come from cheaper ingredients!",
Pb2.10,,drjeff,map,"""Dr."" Jeff: But if you tell these Americans that something is ""vegetarian"" and ""made with soy,"" they lose their minds!",
Pb2.11,,drjeff,map,"""Dr."" Jeff: So what is it that people like about meat? It can't be flavor, texture, versatility, or cultural upbringing, right?",
Pb2.12,,drjeff,map,"""Dr."" Jeff: Right! So the only logical conclusion is that people just like knowing that the thing they're eating used to be alive!",
Pb2.13,,drjeff,map,"""Dr."" Jeff: And thus, what you see there is Calsotte, a successful attempt at giving sentience to vegetables using the power of science!",
Pb2.14,,drjeff,map,"""Dr."" Jeff: Once we can cheaply produce soybeans that feel pain, Food2 will be the most popular food on the planet!",
Pb2.15,,drjeff,map,"""Dr."" Jeff: And as long as we have inventions like Calsotte on our side, you can't stop us!",
Pb2.16,,,map,I pop the top off the cage and gesture towards the onion thing. They eagerly hop into my arms.,
Pb2.17,,drjeff,map,"""Dr."" Jeff: Nooo! Why... did I tell you all of that?!",
Pb2.18,,,map,"""Dr."" Jeff falls to the ground, unconscious.",
Pb2.19,,,map,"I've adopted Calsotte, the sentient onion! I can feed and care for them from the Pause Menu; treating and feeding them well will unlock combat buffs!",
Pb2.20,,,map,Looks like it's time to get in my truck and head to the city. These Food2 goons need to be taught a lesson.,
UnconsciousJeff,,,map,"All the diplomas and accreditations in the world can't protect you from a vegetable-induced concussion, asshole.",All the diplomas and accreditations in the world can't protect you from a vegetable-induced concussion.
*,,,,Area 5: Bridge / Underwater,
SignMermaid,,,map,Mermaid Shoppe,
bworker1,,conboss,map,"Worker: Sorry lady, but this bridge is under construction... we can't let anyone through.",
bworker2,,conboss,map,"Worker: What do you mean ""all we're doing is tossing wood around and walking in circles?"" We're working very hard on... uh... construction.",
bworker3,,conboss,map,"Worker: ...Okay, look, lady, we aren't really doing any construction. The bridge is fine. But we've been hired to keep this bridge closed off by a private company.",
bworker4,,conboss,map,"Worker: I'd say ""if you got a problem with that, take it up with them"" but I guess you can't, really, because they're on the other side of this bridge.",
bworker5,,conboss,map,"Worker: But, uh, I think we might be able to make way for your truck if you're willing to help us out.",
bworker6,,conboss,map,"Worker: See, Dr. RealActualDoctor on the TV said that there's a Sea Monster in this river whose heart has healing properties.",
bworker7,,conboss,map,"Worker: Some of my boys tried to fight that thing themselves, but we were only able to steal this egg from it.",
bworker8,,conboss,map,"Worker: An egg's fine and all, but it's gonna take a while to hatch, and I would prefer a cure for my harmless but mildly annoying butt rash sooner than later.",
bworker9,,conboss,map,"Worker: So if you can get me a Sea Monster Heart, we'll give you full access to this bridge, no questions asked. Sound good?",
bworker10,,conboss,map,Worker: Let me know when you get that sea monster heart.,
rockwrong,,,map,I can't push the rock from this direction!,
bworkerMad1,,conboss,map,"Worker: Hey there, lady--- what? You want the Sea Monster egg back?",
bworkerMad2,,conboss,map,Worker: Don't tell me you're gonna side with that creature!! It's just a fish!!!,
bworkerMad3,,conboss,map,"Worker: Well, if you insist, you can have the egg... but I'm not giving it back without a fight!",
bworkerMad4,,conboss,map,"Worker: Back for more, are you? You'll never get this egg!",
bworkerMad5,,conboss,map,"Worker: Yowza chowza! Come on, boys! Let's get out of here! Dis broad packs a punch!!",
bworkerMad6,,conboss,map,"Worker: Here's your damn egg, but good luck clearing off this bridge all on your own!!","Worker: Here's your dang egg, but good luck clearing off this bridge all on your own!!"
smD1,,smon,map,Sea Monster: I smell something eggscellent!,
smD2,,smon,map,Sea Monster: Ah!! Is that my baby? It is! You got my egg back! Thank you! Thank you!!,
smD3,,smon,map,"Sea Monster: Now that you've held up your end of the bargain, I'll hold up mine! What do you need from me?",
smD4,,smon,map,"Sea Monster: Those workers left a bunch of junk on the bridge, huh? Well, I can take care of that!",
smD5,,smon,map,Sea Monster: Here we go! GROAAAAAAAAAR!!!!,
smD6,,smon,map,Sea Monster: There we go! How's that? All clear!,
smD7,,smon,map,Sea Monster: Good luck on your travels!,
bworkerA1,,,map,The Sea Monster's body slumps over.,
bworkerA2,,,map,*dig dig dig*,
bworkerA3,,,map,I got the Sea Monster's heart! Gross!,
bworkerB1,,conboss,map,"Worker: Hey lady! I smell something fishy! And I mean that in the ""it smells like you killed a fish"" way, not in the ""something is suspicious"" way!",
bworkerB2,,conboss,map,Worker: Oh ho ho! The Sea Monster's heart! You really pulled through!,
bworkerB3,,conboss,map,"Worker: Well, you held up your end of the bargain, so I guess I'll hold up mine!",
bworkerB4,,conboss,map,"Worker: LET'S PACK THINGS UP, BOYS! WE'RE MOVIN' OUT!",
bworkerB5,,conboss,map,"Worker: Pleasure doin' business with ya, lady!",
bworkerC1,,conboss,map,"Worker: Sorry lady, but this bridge is under constr--oh yeesh what is that SMELL? You ever heard of a shower?!",
bworkerC2,,conboss,map,Worker: Th-that's a... that looks like a Sea Monster Heart! Why do you even have that?!,
bworkerC3,,conboss,map,"Worker: I tell ya what, lady. We got paid to sort of meander around this bridge by some fancy white collar boys up north.",
bworkerC4,,conboss,map,"Worker: But if you need to get through here, I think we's can work out some sort of deal. Whattaya say? You give me that heart and we'll let you through!",
bworkerCY,,conboss,map,Worker: Beautiful! This heart will definitely cure my harmless butt rash!,
bworkerCN,,conboss,map,"Worker: Alright, whatever. But if you ever decide you want to get through this bridge, you know what I want!",
bworkerC5,,conboss,map,"Worker: Hey lady, have you changed your mind yet? If you give me that Sea Monster Heart we'll let you through!",
pirateMonk1,,dowel,map,"???: Yarr! Shiver me timb--eh, no one actually talks like that. S'up? I'm Dowel the pirate.",
pirateMonk2,,dowel,map,"Dowel: It's a bit hard to loot ships when nobody sails down this river, so I'm trying to start a DIY kind of thing.",
pirateMonk3,,dowel,map,"Dowel: Unfortunately, it's hard to start my own veggie garden down here under the sea. Nothing grows except algae and kelp!",
pirateMonk4,,dowel,map,"Dowel: I'd like something a bit tastier than fish food, so if you can find anything that grows well in water, send it my way and I'll reward you handsomely!",
pirateMonkW,,dowel,map,"Dowel: I'm looking for some sort of crop that is durable and can grow in tough conditions - like underwater! If you find anything like that, I'll trade you for it!",
pirateMonkH,,dowel,map,Dowel: Hello again! Do you have any fancy crops I can grow? ,
pirateMonkC1,,,choice,Give Arborio Rice Seeds.,
pirateMonkC2,,,choice,Give Black Rice Seeds.,
pirateMonkC3,,,choice,Give Short-Grain Rice Seeds.,
pirateMonkC4,,,choice,Give Water Chestnut Seeds.,
pirateMonkC5,,,choice,Give GMO Corn Seeds.,
pirateMonkR1,,dowel,map,Dowel: Hmm... paddy crops. I can probably set up some sort of paddy around here!,
pirateMonkR2,,dowel,map,"Dowel: I think this will do nicely, thank you!",
pirateMonkR3,,dowel,map,"Dowel: To thank you, I will give you all these leftover seeds that definitely CANNOT grow underwater!",
pirateMonkR4,,,map,"I got 5 Tomato Seeds, 4 Ginger Seeds, 3 Pineapple Seeds, 2 Bell Pepper Seeds, and Parrot Toadstool Seeds.",
pirateMonkR5,,dowel,map,"Dowel: Pleasure doing business with you, ma'am! I mean, landlubber!",
pirateMonkG1,,dowel,map,Dowel: What the heckaroonie are these? GMO Corn?? These seeds... don't look natural!,
pirateMonkG2,,dowel,map,"Dowel: Hmm... so they were genetically engineered to be incredibly durable, but also mostly inedible to humans.",
pirateMonkG3,,dowel,map,"Dowel: Well, I'm sure my razor sharp Sea Monk teeth will be able to give them some good crunching!",
pirateMonkG4,,dowel,map,"Dowel: Thank you for these! In exchange, I will give you my Buried Treasure... if you can find it!",
pirateMonkG5,,dowel,map,Dowel: Honestly I don't know where it is - it's somewhere east of here... the currents kind of blew it around.,
pirateMonkG6,,dowel,map,"Dowel: But with this Sea Monk Key I'm giving you, you'll be able to open it when you find it!",
pirateMonkNo,,dowel,map,"Dowel: Darn. If you find any durable crops that can grow underwater or just in tough conditions in general, let me know!",
pirateField,,,map,This is some very wet dirt. It'd be hard to grow most crops in this.,
pirateRice,,,map,The rice is growing well here! It's very rice to see that.,
pirateGMO,,,map,"The GMO Corn is growing perfectly, despite all the water. That can't be good for the soil.",
chestLocked,,,map,This treasure chest is locked. It doesn't look like I'll be able to open it without a key.,
chestUnlock1,,,map,"This treasure chest is locked, but it looks like the Sea Monk Key that Dowel gave me can open it!",
chestUnlock2,,,map,*click*,
chestUnlock3,,,map,Inside I found 4 Golden Rods!,
vaseFound,,,map,This looks like a pretty nice vase... but I'll need to break it if I want to reach that beehive. Should I break the vase?,
vaseDont,,,map,Yeah... it's mean to break other people's vases in order to rob them.,
vaseDo0,,,map,"I smack the vase, shattering it into several pieces.",
vaseDo1,,kelp,map,Kelp Boy: My vase! My beautiful vase! Why would you do such a cruel thing?!,
vaseDo2,,kelp,map,Kelp Boy: I must react to your destruction of property with VIOLENCE! PREPARE YOURSELF!!!,
kelpBoy0,,kelp,map,"Kelp Boy: Hi. I'm Kelp Boy. I like bees and pottery, I guess.",
kelpBoy1,,kelp,map,"Kelp Boy: But what I really like... is milk. Which is hard to come by underwater, unsurprisingly.",
kelpBoy2,,kelp,map,"Kelp Boy: If you could hook me up with some white gold, I'd be DAIRY thankful.",
kelpCow0,,cow,map,Cow: i'm a cow.,
kelpCow1,,cow,map,Cow: you. farm woman. i know what you seek. say no more.,
kelpCow2,,,map,"The cow gestures to a nearby lad, who runs up and goes to fucking town on those udders.","The cow gestures to a nearby lad, who runs up and milks her."
kelpCow3,,,map,"The lad presents you with a carton of milk, then runs off.",
kelpCow4,,cow,map,"Cow: the first carton is on me, but we both know you'll be back. drink up, honey.",Cow: the first carton is on me! enjoy!
kelpBoy3,,kelp,map,"Kelp Boy: Oh boy! Is that MILK? For ME? Gee, thanks, mom! I mean, uh, stranger who is not my mom.",
kelpBoy4,,,map,"Kelp Boy defies a few laws of physics and gulps down the milk, straight from the carton, while underwater.",
kelpBoy5,,kelp,map,"Kelp Boy: As a thank-you-for-the-milk and as a please-forget-I-called-you-mom, please accept this gift!",
kelpBoyEnd,,kelp,map,"Kelp Boy: Hey hey, what do you call a vase full of milk? A hearty drink!! Eh? Eh? I guess the joke is lost in translation.",
vaseWon0,,,map,"The Kelp Boy scampers off, hooting and hollering like a fool, leaving his beehive unguarded!",
vaseDo3,,kelp,map,Kelp Boy: Do you think I forgot what you did to my beautiful vase!? How dare you show your face here again!!,
vaseDo4,,kelp,map,"Kelp Boy: Still after my beehive, are you!? I'll never let you take it!!",
vaseDo5,,kelp,map,Kelp Boy: Huh--what?! How did you get there?! That's my beehive! You can't take it from me!!,
vaseFoundBee,,,map,This is a nice vase.,
fish0,,,map,Fish: Blub.,
fish1,,,map,The fish swims menacingly towards me.,
fish2,,,map,Fish: Bwubwubuwbwubwubwuwb.,
seamonk0,,,map,Sea Monk: it is my duty to fight you.,
seamonk1,,,map,The Sea Monk lunges at me.,
seamonk2,,,map,Sea Monk: hey you wanna buy some smokes?,Sea Monk: hey you wanna buy some baseball cards?
seamonk3,,,map,Sea Monk: FIGHT TIME!,
seamonk4,,,map,"Sea Monk: this is my turf, landwalker.",
seamonk5,,,map,Sea Monk: aaaaaaaaaa AAAAAAAAAAAA AAAAAAAAAAAA!!!!!!!!,
seamonk6,,,map,Sea Monk: what the heck is a sea monk,
seamonk7,,,map,Sea Monk: yes let us duel,
SignConstWork,,,map,Lazy Construction Worker Shoppe,
SignMermaidInn,,,map,Mermaid Inn,
constr1.foe1,,conwrk,map,Worker: You're going down!,
constr1.fr1,,conwrk,map,"Worker: Hey there. We're under construction, so you can't drive through here.",
constr1.fr2,,conwrk,map,Worker: Talk to the boss-man if you got questions. He's on the bridge.,
sm1,,smon,map,Sea Monster: ANOTHER HUMAN!! Was my egg not enough for you!? Are you here to try killing me again?!,
sm2,,smon,map,"Sea Monster: Hmm... wait, you are different from the others, aren't you?",
sm3,,smon,map,"Sea Monster: Some humans stole my egg earlier. If you could recover it for me, I would gladly help you with anything you need.",
sm4,,smon,map,Sea Monster: Will you recover my egg for me?,
sm4c1,,,choice,I'll get your egg back!,
sm4c2,,,choice,"Prepare to die, you vile beast!",
sm4c3,,,choice,I'll think about it.,
smA1,,smon,map,Sea Monster: Thank you! The human with the grey hair on their face is the one who stole it from me. Please bring it back to me!,
smA2,,smon,map,Sea Monster: Please bring my egg back to me once you have taken it back from the gray haired human.,
smB1,,smon,map,"Sea Monster: So you are with them after all... so be it. Prepare yourself, human!",
smB2,,smon,map,"Sea Monster: Back for more, are you? Feel my wrath, human!",
smC1,,smon,map,Sea Monster: Yeah okay that's fair.,
sm5,,smon,map,"Sea Monster: Ah, you're back. Have you made your decision?",
murderer,,,map,This Sea Monster is dead because I murdered her. I murdered her because it was more convenient for me than protecting her.,
w21,,conwrk,map,"Worker: Mess with me, will ya?!",
w22,,conwrk,map,"Worker: Not so fast, lady!",
cc1,,cc,map,Cecilia: I always start my day jogging in place here; the river is beautiful and sometimes the mermaids keep me company!,
cc2,,cc,map,"Cecilia: But today I forgot to bring my breakfast smoothie! I won't have the energy to keep this up without some noots! Nutrients, I mean.",
ccYes,,,choice,I can make you a smoothie!,
ccNo,,,choice,That sucks.,
ccHelp,,cc,map,Cecilia: You can? Hooray! You can use my blender! Don't ask why I remembered to bring a blender but not a smoothie.,
ccNope,,cc,map,Cecilia: It does! I got some serious hungs now! That's what I call hunger.,
ccHappy,,cc,map,Cecilia: Mmm... I can feel the vitamins flowing through my veins... Health. Sustenance. Nutrience...,
ccFailed,,cc,map,"Cecilia: Oh, hey, it's the girl who sucks at making smoothies! What's up?",
ccNoDish,,cc,map,"Cecilia: Aw, don't have anything? Well, thanks for thinking about me anyway!",
ccDish,,cc,map,"Cecilia: Oooo, a smoothie just for me?! You're amazing! I can't wait to taste it!",
cc.perfect,,cc,map,Cecilia: Woah! This smoothie is THE ULTIMATE smoothie! How did you know?!,
cc.great,,cc,map,"Cecilia: Oh yeah, this is the good stuff! This is a great smoothie, thank you!!",
cc.good,,cc,map,Cecilia: Mmm... thank you so much! This hits the spot!!,
cc.bad,,cc,map,"Cecilia: Uhh, what did you put in this smoothie? I guess I shouldn't look a gift smoothie in the mouth, so thanks?",
cc.hate,,cc,map,"Cecilia: PHEW. Nevermind, I'm not tasting this, its smell alone is making my eyes water! What did you put in this, dirt?!",
ccWin1,,cc,map,"Cecilia: I don't have much, but please take these Farm Fixtures as thanks! Again, I don't know why I brought farm equipment on my jog but not my smoothie.",
ccHate2,,cc,map,Cecilia: Please never touch a blender again.,
ccWin2,,,map,I got some farm fixtures. I can see what they are by checking my inventory.,
*,,,,Area 6: Fake Farm,
barndoorChick,,,map,"I can't see too well through the door, but there appears to be some of ridiculously large chicken behind it.",
barndoorPig,,,map,"I can't see too well through the door, but it looks like there's a pig with something tied to its back in there.",
barndoorCrop,,,map,"I can't see too well through the door, but I can make out a pile of fruits and veggies in it.",
barndoorEmpty,,,map,"I can't see too well through the door, but this stall seems to be empty.",
barndoorShop,,,map,"I can't see too well through the door, but I think I see a shopkeeper in there.",
chickbot0,,,map,"Robot: yes hello I am a chicken. I mean, uh, ""quack.""",
chickbot1,,,map,Robot: I'm gonna cluck you up.,
chickbot2,,,map,Robot: [ChickenNoise.ogg not found.],
pig0,,,map,This pig has a fucking gun tied to its back.,This pig has a gun tied to its back.
golem0,,,map,The pile of fruits and veggies begins shaking as I approach it. It's alive!!!,
farmTV0,,fjeff,map,Farmer Jeff: Ha ha haha!!! You fool!!,
farmTV1,,fjeff,map,Farmer Jeff: You walked right into my trap!! This whole farm is a fake! A ruse!,
farmTV2,,fjeff,map,Farmer Jeff: I'm not even a real farmer! My name is actually just Jeff!,
farmTV3,,fjeff,map,"Actually Just Jeff: You managed to get past our roadblock at the bridge, but you'll NEVER make it out of HERE alive!!!",
farmTV4,,fjeff,map,Actually Just Jeff: This fake farm is full of the most elaborate traps and obstacles that technology can offer us!,
farmTV5,,fjeff,map,"Actually Just Jeff: Good luck, you imbecile!!",
farmTVunplug0,,fjeff,map,Actually Just Jeff: hey wait what are you doing don't touch that,
farmTVunplug1,,fjeff,map,Actually Just Jeff: wait NO YOU SON OF A B--,Actually Just Jeff: wait NO YOU--
farmTVunplug2,,,map,"I pulled the cable out of the outlet, powering down the TV and all of the other elaborate traps in the building.",
farmTVunplug3,,,map,Pretty sweet that just unplugging one cable powered down all of that guy's plans. Geniuses truly are the smartest people.,
lawnmower,,,map,This lawnmower looks brand new.,
mower0,,,map,Lawnmower: VROOOM-BRBRBRBRBRBRRRRR! I'M GONNA RUN YOU OVER!!!,
mower1,,,map,Lawnmower: YOUR ASS IS GRASS. AND I'M A LAWNMOWER. D-...do you see where I'm going with this?,Lawnmower: IT'S LAWN MOWING TIME!
hotbox3,,,map,"Having solved the machine's puzzle, the energy field blocking the stairs vanishes.",
hotboxX,,,map,The machine is powered off.,
hotbox1,,,map,This machine can disable the energy field blocking off the stairs.,
hotbox2,,,map,I already disabled the energy field.,
tireget,,,map,I got the Spare Tire!,
bustedTruck0,,,map,It looks like there are some nails in the tire... these must have been on the road. Strange...,
bustedTruck1,,,map,I quickly changed the tire.,
fakeFarmS,,,map,...*BRBRPRPRPDTTUTTTTTDTT*,
fakeFarm0,,,map,Well this doesn't look good.,
fakeFarm1,,fjeff,map,"???: Howdy there, buckaroo! Boy howdy, looks like you got a flat tire!",
fakeFarm2,,fjeff,map,???: I'm Farmer Jeff! Pleased ta' make your acquaintance!,
fakeFarm3,,fjeff,map,Farmer Jeff: I've got a spare tire in the back of my barn! Because I'm a farmer! Who owns a barn! I'll go get it for ya!,
fakeFarm4,,fjeff,map,"Farmer Jeff: Make yourself comfortable, I'll be back in a jiffy! Yee-haw! Farmin'!",
fakeFarm5,,fjeff,map,"Actually Just Jeff: NOT SO FAST, YOU GOBLIN!",
fakeFarm6,,fjeff,map,"Actually Just Jeff: IF YOU THINK I'M GOING TO LET YOU OUT OF HERE WITH THAT TIRE, YOU ARE MISTAKEN!",
fakeFarm7,,fjeff,map,Actually Just Jeff: HOUSEKEEPER! TURN ON!,
fakeFarm8,,hkeep,map,???: Now calibrating... ... ...,
fakeFarm9,,hkeep,map,"???: Hello. HOUSEKEEPER is now active. Welcome back, Sexy Jeff.","???: Hello. HOUSEKEEPER is now active. Welcome back, Cool Jeff."
fakeFarm10,,fjeff,map,"Actually Just Jeff: Er, I, uh, I didn't tell it to call me that.",
fakeFarm11,,fjeff,map,Actually Just Jeff: ...DON'T LOOK AT ME LIKE THAT! HOUSEKEEPER! Kill this woman!,
fakeFarm12,,hkeep,map,"HOUSEKEEPER: Understood, Sexy Jeff. Now attacking.","HOUSEKEEPER: Understood, Cool Jeff. Now attacking."
fakeFarm13,,fjeff,map,Actually Just Jeff: Ugh... how did you defeat HOUSEKEEPER??!,
fakeFarm14,,fjeff,map,"Actually Just Jeff: No matter! You may have beaten me, but you're still stuck here!",
fakeFarm15,,fjeff,map,Actually Just Jeff: The nearest tire changing station is dozens of miles away! You'll never make it there just by walking!,
fakeFarm16,,fjeff,map,Actually Just Jeff: ...What do you mean you can just change the tire yourself?! That's impossible!! People can't just CHANGE TIRES!!,
fakeFarm17,,fjeff,map,Actually Just Jeff: You... bastard...,Actually Just Jeff: You... monster...
HK.s0,,,map,I don't know what this is.,
HK.s1,,,map,"This is a ""HOUSEKEEPER"" model smart speaker.",
HK.s2,,,map,"You can talk to it and it'll turn on lights in your house, or set the thermostat temperature, or send your personal data to advertisers.",
fakeFarm18,,fjeff,map,Actually Just Jeff: I'll never let you out of here!,
s.up2,,,shop,Till-Till: Do you wish you had more tiles to plant crops in? Wish no more! I can give you more tiles to work with!,
s.up2p,,,shop,Till-Till: Excellent! Now you'll have more tiles to plant crops and place fixtures on! ,
s.up2empty,,,shop,"Till-Till: Hey there, pal! I don't have any more farm upgrades for you, but I'm still happy to see you! :)",
s.up2leave,,,shop,"Till-Till: Bye-bye, buddy!",
s.up2not,,,shop,"Till-Till: I'm sorry, friend, but I cannot perform the necessary tilling without funding! You insert money - I output field expansion!",
s.f3open,,,shop,Real Pig: HELLO. WOULD YOU LIKE TO ACQUIRE A COW OR COW ACCESSORIES.? OR OTHER FIXTURES.? I HAVE THEM.,
s.f3leave,,,shop,Real Pig: OINK OINK.,
s.f3not,,,shop,Real Pig: INSUFFICIENT FUNDS. TRY AGAIN LATER (ASSUMING TIME IS MONEY AND YOU WILL HAVE MORE MONEY IN A FUTURE TIME).,
s.f3purch,,,shop,Real Pig: TRANSACTION SUCCESSFUL. ENJOY YOUR PRODUCT AND OR COW.,
s.f3talk,,,shop,Real Pig: I AM A REAL PIG WHO OINKS AND ENJOYS FOOD. GOOD PIG FOOD. LIKE BATTERIES.,
upgradeBarn,,,map,The Good Times Barn For Dirt Rearranging Activities and Farm Expansions,
arf0,,cooldog,map,Crouton: Hey.,
arf1,,cooldog,map,"Crouton: I have a bit of a ""situation"" here, as it were.",
arf2,,cooldog,map,"Crouton: I love fish, but, the fish don't love me. Or my bait. They aren't biting, you see.",
arf3,,cooldog,map,"Crouton: If you have some other way to get fish, or you have some really good bait, let me know.",
arf4,,cooldog,map,Crouton: You got anything for me?,
arf.none,,cooldog,map,"Crouton: Damn. If you have any fishing tools or good bait, holler at me.","Crouton: Darn. If you have any fishing tools or good bait, holler at me."
arf.spear,,,choice,Give Fish Spear.,
arf.net,,,choice,Give Fish Net.,
arf.bignet,,,choice,Give Big Net.,
arf.metalrod,,,choice,Give Metal Rod.,
arf.ultrarod,,,choice,Give Golden Rod.,
arf.spear0,,cooldog,map,"Crouton: A spear, eh? I dunno if I'd be able to work that with my tiny doggy paws.",
arf.spear1,,cooldog,map,"Crouton: I appreciate the sentiment, but I may need something a little more hands-off.",
arf.good0,,cooldog,map,Crouton: Bow-WOW! Now THIS could catch me some fishies!,
arf.good1,,cooldog,map,"Crouton: Thanks, buddy! Here's some fodder as a reward. You can feed it to a cow to get plenty of health-recovering milk!",
arf.good2,,cooldog,map,Crouton: Don't have a cow? Don't have a cow! There's a shop in one of the stalls inside this fake barn that sells them!,
arf.ultra0,,cooldog,map,"Crouton: Oh wow, now THAT is some fish bait! I'll definitely catch some amazing fish with this!",
arf.ultra1,,cooldog,map,Crouton: Thanks a million! Here's some premium food as a reward! You can feed it to a cow to get super powerful health-recovering milk!,
arf.thanks,,cooldog,map,"Crouton: You give a dog a fish, you feed him for a day. You teach a dog to fish, you're gonna win some fucking dog shows.","Crouton: You give a dog a fish, you feed him for a day. You teach a dog to fish, you're gonna win some dog shows."
*,,,,Area 7: South City,
entercity0,,,map,!!!: Hey! Who's that over there??!,
entercity1,,skump1,map,???: Psst! Over here! Come quick!,
entercity2,,skump1,map,"???: Quick, hide behind the bar! I'll explain later!",
entercity3,,skump2,map,"???: Ah, ah! Mr. Bruno! Welcome! What can I--",
entercity4,,skump3,map,Bruno: I just saw someone run in here. Who was it? Was it the farmer?,
entercity5,,skump2,map,???: What? No! Don't be silly! That was just me! I was chasing a rat out!,
entercity6,,skump3,map,Bruno: ...You got rats?,
entercity7,,skump2,map,"???: Oh, no, no, no! Just one or two from time to time!",
entercity8,,skump3,map,Bruno: ...Alright. I'll have a drink. On the house. No rats.,
entercity9,,skump2,map,"???: One drink, coming right up!",
entercity10,,skump3,map,"Bruno: You know, if you've got rats, that might be a health code violation. I think I know a, uh, ""health inspector.""",
entercity11,,skump3,map,"Bruno: It'd be unfortunate for your little lemonade stand here to go under because of a few rats, if you know what I'm sayin'.",
entercity12,,,map,It sounds like this mobster is trying to extort this bartender! What should I do?,
mobchoice0,,,choice,Stand up for the bartender.,
mobchoice1,,,choice,Stay hidden for now.,
entercity0.0,,skump3,map,"Bruno: Hey, what the--?!",
entercity0.1,,skump2,map,"???: I told you to-- I mean, EGADS! THAT'S NOT A RAT! THAT'S A HUMAN WOMAN!",
entercity0.2,,skump3,map,Bruno: THAT'S THE FARMER!!,
entercity0.3,,skump2,map,???: RATS CAN'T BE FARMERS!! THEIR TINY HANDS CAN'T HOLD TOOLS!! THIS IS ALL VERY SURPRISING TO ME!!,
entercity0.4,,skump3,map,Bruno: Shut up! I'll deal with YOU later!,
entercity0.5,,skump3,map,"Bruno: You're goin' down, lady!",
entercity1.0,,skump2,map,???: ...I think I understand what you're getting at.,
entercity1.1,,,map,"The bartender opens the cash register, pulls out some money, and hands it to the mobster.",
entercity1.2,,skump3,map,"Bruno: Hmm, yeah, I think I can forget about those rats now.",
entercity1.3,,skump3,map,"Bruno: Keep up the good work, and if you see that farmer, TELL ONE OF US IMMEDIATELY.",
entercity1.4,,skump2,map,???: Of course I will! Absolutely!,
entercity1.5,,skump1,map,???: ... ... ...,
entercity1.6,,skump1,map,"???: ...Okay, I think it's safe for you to come out now.",
entercity1.7,,skump1,map,???: I'm sorry you had to see that.,
entercity0.pb0,,skump1,map,"???: Wow... we're lucky he's one of the gullible ones. If I tell him he just drank too much and passed out, he'll probably buy it.",
entercity0.pb1,,skump1,map,???: ...Thank you. Thank you very much. You really helped me out just now.,
entercity0.pb2,,skump1,map,"???: If you need to stay here, you can stay the night any time. No charge for you.",
entercity2.0,,skump1,map,"???: Anyway, I'm Skumpy, the owner of this inn. As you might have guessed, we have a bit of a mob problem.",
entercity2.1,,skump1,map,"Skumpy: Rumor is that some farmer will be coming through here to get to the city, and they're trying to cut her off.",
entercity2.2,,skump1,map,Skumpy: I think it's safe to say that you're the farmer they're looking for.,
entercity2.3,,skump1,map,"Skumpy: I can't say I know what they'll do to you if they catch you, or who hired them.",
entercity2.4,,skump1,map,"Skumpy: But whoever you pissed off, they're taking it out pretty badly on us. Those mobsters are crawling the streets 24/7.","Skumpy: But whoever you messed with, they're taking it out pretty badly on us. Those mobsters are crawling the streets 24/7."
entercity2.5,,skump1,map,"Skumpy: They haven't hurt anybody, but they make it pretty clear that the best way to keep it that way is by paying their ""fees.""",
entercity2.6,,skump1,map,"Skumpy: Either way, the town is swarming with them, so if you're still determined to go north, you'd better be careful.",
entercity2.7,,skump1,map,"Skumpy: They've set up a sort of home base just west of here, so if stealth isn't your thing, you can try to deal with them directly.",
entercity2.8,,skump1,map,"Skumpy: Otherwise, stay to the east of town. That's where most of the shops are, anyway.",
entercity2.9,,skump1,map,"Skumpy: Good luck, stranger.",
entercityBAD0,,,map,"Bruno: ... ... Yeah, hey boss. It's me.",
entercityBAD1,,,map,"Bruno: Yeah, I found the farmer at Skumpy's. She's been, ah, ""taken care of.""",
entercityBAD2,,,map,"Bruno: ...Yes, by ""taken care of"" I mean she is dead. She is a dead corpse who isn't alive no more because I shot her a lot with bullets.",
entercityBAD3,,,map,"Bruno: Yes, bullets from my gun, boss. Gun bullets.",
entercityBAD4,,,map,"Bruno: Boss, your complete and utter inability to understand metaphors or read between the lines is really a burden to this mob.",
entercityBAD5,,,map,"Bruno: Yes, yes, she is DEAD. NOT ALIVE. SHE HAS CEASED TO BE. SHE IS SOON TO BE BURIED.",
